Top queries,Cluster Number,Cluster Name,Clicks,Impressions,CTR,Position
short stay accommodation perth,,,0,5,0%,79.6
mandurah apartments,,,0,5,0%,82.0
disability organisations perth,,,0,5,0%,89.4
it provider,,,0,5,0%,90.2
independent living centre mandurah,,,0,5,0%,92.0
disability living support,,,0,4,0%,1.0
disabled living near me,,,0,4,0%,1.0
independent support services,,,0,4,0%,1.0
living,,,0,4,0%,1.0
sda approved builders,,,0,4,0%,1.75
ndis disability support,,,0,4,0%,2.0
aldelphi,,,0,4,0%,2.25
sda housing qld,,,0,4,0%,2.5
ndis renovations perth,,,0,4,0%,3.75
ndis support,,,0,4,0%,3.75
independant living,,,0,4,0%,6.0
short term disability accommodation,,,0,4,0%,11.25
ndis provider near me,,,0,4,0%,15.0
sda sil,,,0,4,0%,29.75
sil houses,,,0,4,0%,41.75
sil ndia,,,0,4,0%,43.75
living expo,,,0,4,0%,44.25
sda levels ndis,,,0,4,0%,46.0
what does sil include,,,0,4,0%,59.5
sil homes,,,0,4,0%,60.0
improved living solutions,,,0,4,0%,64.75
alioth independents,,,0,4,0%,65.75
difference between sil and sda,,,0,4,0%,65.75
medium term accommodation providers,,,0,4,0%,69.25
disability services mandurah,,,0,4,0%,73.25
ndis short term accommodation providers victoria,,,0,4,0%,74.75
adelphi logo,,,0,4,0%,77.75
ndis short term accommodation mental health,,,0,4,0%,80.0
maddington accommodation,,,0,4,0%,89.5
s&a living,,,0,4,0%,94.0
ndis wa contact,,,0,4,0%,94.75
disability activities perth,,,0,4,0%,102.75
disability centre,,,0,3,0%,1.0
disability service,,,0,3,0%,1.0
independent supported living,,,0,3,0%,1.67
support independent living,,,0,3,0%,1.67
ndis phone number,,,0,3,0%,2.0
housing ndis,,,0,3,0%,3.0
ndis home,,,0,3,0%,3.67
sil accommodation ndis,,,0,3,0%,4.33
wa ndis,,,0,3,0%,5.0
sda approval,,,0,3,0%,8.0
disability expo perth 2021,,,0,3,0%,10.33
developing australian communities expo,,,0,3,0%,12.67
what is ndis sil,,,0,3,0%,27.0
ndis sda housing,,,0,3,0%,33.33
27 adelphi road claremont,,,0,3,0%,36.67
sil disability,,,0,3,0%,36.67
sda robust,,,0,3,0%,37.0
sda s,,,0,3,0%,41.67
independent supported living and disabilities ltd,,,0,3,0%,42.0
adelphi springs,,,0,3,0%,43.0
sda care,,,0,3,0%,46.67
independence living,,,0,3,0%,54.0
mental health accommodation perth,,,0,3,0%,56.0
sda home,,,0,3,0%,56.0
ndis tablet,,,0,3,0%,56.67
ndis short term accommodation rules,,,0,3,0%,59.33
house of hoops perth,,,0,3,0%,62.67
handicap assisted living,,,0,3,0%,66.0
ndis supported living,,,0,3,0%,67.67
independant living solutions,,,0,3,0%,71.0
possibility disability services,,,0,3,0%,73.33
independant living specialists,,,0,3,0%,75.67
accommodation perth region,,,0,3,0%,76.0
home assist wa,,,0,3,0%,76.67
short term accommodation mandurah,,,0,3,0%,78.67
freedom adelphi table,,,0,3,0%,81.33
long term accommodation rockingham,,,0,3,0%,83.33
supported disability accommodation ndis,,,0,3,0%,88.67
disability housing solutions brisbane,,,0,3,0%,89.33
perth funding,,,0,3,0%,90.0
silsolutions,,,0,3,0%,90.33
outdoor living mandurah,,,0,3,0%,92.0
sil funding,,,0,3,0%,92.67
independent living accommodation,,,0,3,0%,96.0
cannington accommodation,,,0,3,0%,99.33
intellectual disability accommodation,,,0,3,0%,123.67
diability services,,,0,2,0%,1.0
disability facility,,,0,2,0%,1.0
disability facility near me,,,0,2,0%,1.0
housing support,,,0,2,0%,1.0
independent housing,,,0,2,0%,1.0
independent living support,,,0,2,0%,1.0
ndis conference 2021,,,0,2,0%,1.0
ndis support workers near me,,,0,2,0%,1.0
supported living services,,,0,2,0%,1.0
disability living,,,0,2,0%,1.5
ndis disability services,,,0,2,0%,1.5
ndis home care,,,0,2,0%,2.0
call ndis,,,0,2,0%,2.5
disability support work,,,0,2,0%,3.0
disability support worker,,,0,2,0%,3.0
independent living facilities for disabled,,,0,2,0%,3.0
sda accomodation,,,0,2,0%,3.0
supported independant living,,,0,2,0%,3.0
ndis supplier,,,0,2,0%,3.5
ndis houses,,,0,2,0%,4.0
organisation,,,0,2,0%,5.5
in home support ndis,,,0,2,0%,6.5
apply for sda,,,0,2,0%,24.5
sda category,,,0,2,0%,25.0
atsa perth,,,0,2,0%,27.5
sda eligibility criteria,,,0,2,0%,28.5
sda robust housing,,,0,2,0%,28.5
ndis medium term accommodation providers,,,0,2,0%,30.0
what is an sda,,,0,2,0%,30.5
atsa 2021,,,0,2,0%,33.5
living in wa,,,0,2,0%,42.5
howard livings,,,0,2,0%,43.0
sda guidelines,,,0,2,0%,43.5
now living,,,0,2,0%,44.0
perth home expo,,,0,2,0%,44.0
sda western australia,,,0,2,0%,45.0
independent living ndis,,,0,2,0%,46.0
sda legislation,,,0,2,0%,48.0
disability independent living,,,0,2,0%,50.0
sda virtual room,,,0,2,0%,52.5
sda apartment,,,0,2,0%,54.5
avendelle assisted living,,,0,2,0%,57.5
air adelphi,,,0,2,0%,61.0
live in treeby,,,0,2,0%,64.0
living perth,,,0,2,0%,64.0
home expo perth,,,0,2,0%,64.5
independent events perth,,,0,2,0%,64.5
specialist disability accommodation ndis,,,0,2,0%,66.0
houses for rent in mandurah,,,0,2,0%,70.5
sda log in,,,0,2,0%,70.5
ndis application wa,,,0,2,0%,71.5
"supported independent living ndis, supported independent living vacancies, 
supported independent living sil",,,0,2,0%,74.5
individualised living options,,,0,2,0%,76.0
short term accomodation,,,0,2,0%,76.0
adelphi consult,,,0,2,0%,77.5
living houses,,,0,2,0%,78.0
independent senior living,,,0,2,0%,78.5
south perth short term accommodation,,,0,2,0%,80.0
adelphi echuca,,,0,2,0%,82.0
adelphi portal,,,0,2,0%,86.0
your homes,,,0,2,0%,87.5
short term rental perth,,,0,2,0%,88.0
access housing mandurah,,,0,2,0%,88.5
share accommodation perth,,,0,2,0%,89.0
perth exhibitions,,,0,2,0%,89.5
sda logo,,,0,2,0%,90.0
independent living communities,,,0,2,0%,90.5
apartments mandurah,,,0,2,0%,92.0
independent living equipment perth,,,0,2,0%,92.5
independent living facilities,,,0,2,0%,94.5
perth serviced apartment deal,,,0,2,0%,94.5
disability services midland,,,0,2,0%,95.5
connection perth,,,0,2,0%,96.5
hotels cannington,,,0,2,0%,96.5
hotels rockingham,,,0,2,0%,98.5
independent living home,,,0,2,0%,98.5
exhibitions perth,,,0,2,0%,99.0
ndis provider logo,,,0,2,0%,99.5
living wa,,,0,2,0%,104.5
adlephi,,,0,1,0%,1.0
adlphi,,,0,1,0%,1.0
disability care center,,,0,1,0%,1.0
disability care facility,,,0,1,0%,1.0
disability expo,,,0,1,0%,1.0
disability homes near me,,,0,1,0%,1.0
disability service provider,,,0,1,0%,1.0
disability services wa,,,0,1,0%,1.0
disability support worker agencies,,,0,1,0%,1.0
disability supported accommodation,,,0,1,0%,1.0
disability supported living,,,0,1,0%,1.0
flexible living,,,0,1,0%,1.0
indepedent living,,,0,1,0%,1.0
independent disability,,,0,1,0%,1.0
independent living center,,,0,1,0%,1.0
independent living victoria,,,0,1,0%,1.0
indpendent living,,,0,1,0%,1.0
ndis aged care providers,,,0,1,0%,1.0
ndis disability housing,,,0,1,0%,1.0
ndis provider in perth,,,0,1,0%,1.0
ndis service,,,0,1,0%,1.0
organisation and,,,0,1,0%,1.0
residential disability care facility,,,0,1,0%,1.0
services for independent living,,,0,1,0%,1.0
support housing,,,0,1,0%,1.0
support living accommodation,,,0,1,0%,1.0
support workers near me,,,0,1,0%,1.0
supported living accommodation near me,,,0,1,0%,1.0
supported living accomodation,,,0,1,0%,1.0
supported living homes,,,0,1,0%,1.0
wa disability services,,,0,1,0%,1.0
assisted accommodation near me,,,0,1,0%,2.0
independent living program for disabled,,,0,1,0%,2.0
koh living,,,0,1,0%,2.0
living living,,,0,1,0%,2.0
livings,,,0,1,0%,2.0
mta funding,,,0,1,0%,2.0
ndis home care providers,,,0,1,0%,2.0
ndis meaning,,,0,1,0%,2.0
"ndis provider""",,,0,1,0%,2.0
ndis telephone number,,,0,1,0%,2.0
sda housing sydney,,,0,1,0%,2.0
sda loan,,,0,1,0%,2.0
sda loans,,,0,1,0%,2.0
sda quote,,,0,1,0%,2.0
sil insurance,,,0,1,0%,2.0
360 ndis,,,0,1,0%,3.0
afelphi,,,0,1,0%,3.0
disablity support worker,,,0,1,0%,3.0
disbaility,,,0,1,0%,3.0
independent living for disabled,,,0,1,0%,3.0
n.d.i.s,,,0,1,0%,3.0
national disability services,,,0,1,0%,3.0
ndia provider,,,0,1,0%,3.0
ndis call,,,0,1,0%,3.0
ndis provider number,,,0,1,0%,3.0
ndis provider services,,,0,1,0%,3.0
ndis specialist disability accommodation design standard,,,0,1,0%,3.0
ndis.,,,0,1,0%,3.0
ndis?,,,0,1,0%,3.0
supported indepedent living,,,0,1,0%,3.0
adalphi,,,0,1,0%,4.0
ndis aged care,,,0,1,0%,4.0
ndis australia,,,0,1,0%,4.0
ndis service provider,,,0,1,0%,4.0
sda housing adelaide,,,0,1,0%,4.0
accommodation for disabled adults,,,0,1,0%,5.0
accommodation for people with disabilities,,,0,1,0%,5.0
contact ndis,,,0,1,0%,5.0
ndis home and living supports,,,0,1,0%,5.0
"""ndis aged care",,,0,1,0%,6.0
adelphi 2021,,,0,1,0%,6.0
nursing specialty,,,0,1,0%,6.0
sda grant,,,0,1,0%,6.0
sda housing brisbane,,,0,1,0%,6.0
sda smart homes reviews,,,0,1,0%,6.0
sil housing ndis,,,0,1,0%,6.0
sil.,,,0,1,0%,10.0
adelphi ceo,,,0,1,0%,11.0
sda call,,,0,1,0%,11.0
disability specialists,,,0,1,0%,12.0
indepent living,,,0,1,0%,12.0
what is a sda,,,0,1,0%,14.0
sda application ndis,,,0,1,0%,18.0
sda panel,,,0,1,0%,18.0
perth disability expo,,,0,1,0%,19.0
adelphi group home,,,0,1,0%,20.0
atsa expo perth,,,0,1,0%,26.0
disability expo perth,,,0,1,0%,27.0
improved livability,,,0,1,0%,27.0
ndis short term accommodation and assistance,,,0,1,0%,33.0
sil sda ndis,,,0,1,0%,33.0
atsa independent living expo 2021,,,0,1,0%,34.0
what is an sil ndis,,,0,1,0%,35.0
sda funding levels,,,0,1,0%,36.0
independent living bunbury,,,0,1,0%,40.0
+independent +retirement +living,,,0,1,0%,41.0
clicks adelphi,,,0,1,0%,41.0
sda rules,,,0,1,0%,41.0
who is sil,,,0,1,0%,41.0
"""exceed""",,,0,1,0%,42.0
homes for independent living,,,0,1,0%,42.0
independent retirement living,,,0,1,0%,43.0
ndia perth,,,0,1,0%,44.0
sda ceo,,,0,1,0%,45.0
sda high physical support,,,0,1,0%,45.0
disability sil,,,0,1,0%,46.0
sda pay,,,0,1,0%,47.0
individual living options,,,0,1,0%,48.0
what is sda funding,,,0,1,0%,48.0
ndis sda fact sheet,,,0,1,0%,53.0
perth short term accommodation,,,0,1,0%,56.0
treeby nursing home,,,0,1,0%,57.0
"""houses""",,,0,1,0%,58.0
share housing perth,,,0,1,0%,58.0
sil support,,,0,1,0%,58.0
flintwood disability services,,,0,1,0%,61.0
medium stay accommodation,,,0,1,0%,61.0
what is ndis wa,,,0,1,0%,63.0
disability housing solutions,,,0,1,0%,64.0
houses for rent in maddington,,,0,1,0%,64.0
independent living mandurah,,,0,1,0%,64.0
short term lease perth,,,0,1,0%,64.0
assisted living disability,,,0,1,0%,66.0
erskine wa,,,0,1,0%,66.0
sda rules 2020,,,0,1,0%,66.0
sil home,,,0,1,0%,66.0
sda ndis eligibility,,,0,1,0%,67.0
sda options,,,0,1,0%,67.0
home living expo,,,0,1,0%,68.0
shared supported accommodation disability services,,,0,1,0%,69.0
best independent living communities,,,0,1,0%,70.0
disability agencies perth,,,0,1,0%,70.0
short term stay perth,,,0,1,0%,70.0
disability care perth,,,0,1,0%,72.0
independent living houses,,,0,1,0%,72.0
living in mandurah,,,0,1,0%,74.0
expo perth,,,0,1,0%,75.0
independent community living,,,0,1,0%,75.0
sda qualification,,,0,1,0%,76.0
group homes perth,,,0,1,0%,78.0
ndis jobs perth wa,,,0,1,0%,79.0
rockingham houses,,,0,1,0%,80.0
www.sil,,,0,1,0%,81.0
6107 perth,,,0,1,0%,82.0
house for rent in maddington,,,0,1,0%,82.0
independent living australia,,,0,1,0%,82.0
perth expo centre,,,0,1,0%,82.0
885 albany highway,,,0,1,0%,83.0
independent living centre joondalup,,,0,1,0%,83.0
accommodation rockingham wa,,,0,1,0%,84.0
homes west joondalup,,,0,1,0%,84.0
ndis support wa,,,0,1,0%,84.0
portal cannington,,,0,1,0%,84.0
accommodation in rockingham wa,,,0,1,0%,85.0
claremont independent,,,0,1,0%,85.0
rockingham accommodation wa,,,0,1,0%,85.0
who is eligible for ndis wa,,,0,1,0%,85.0
access housing perth,,,0,1,0%,86.0
adelphi hotels,,,0,1,0%,87.0
sda resources,,,0,1,0%,87.0
beauty expo perth,,,0,1,0%,89.0
mandurah accommodation,,,0,1,0%,89.0
perthexpo,,,0,1,0%,89.0
apartments in mandurah,,,0,1,0%,90.0
short term accommodation perth wa,,,0,1,0%,90.0
short term accommodation subiaco,,,0,1,0%,91.0
adelphi laudale,,,0,1,0%,92.0
ndis sil quote,,,0,1,0%,92.0
adelphi contact,,,0,1,0%,93.0
best it service provider perth,,,0,1,0%,93.0
exhibitions in perth,,,0,1,0%,93.0
home living exhibition 2021,,,0,1,0%,93.0
rockingham wa accommodation,,,0,1,0%,93.0
what is a sil,,,0,1,0%,93.0
adelphi care services,,,0,1,0%,94.0
medium perth,,,0,1,0%,94.0
shared supported accommodation,,,0,1,0%,94.0
independent living centre perth,,,0,1,0%,95.0
living in baldivis,,,0,1,0%,95.0
ndis living assistance,,,0,1,0%,95.0
participant,,,0,1,0%,95.0
simple approach perth,,,0,1,0%,95.0
independent living options,,,0,1,0%,96.0
rockingham accommodation,,,0,1,0%,96.0
short term accommodation ndis providers,,,0,1,0%,96.0
abode living,,,0,1,0%,97.0
accommodation in mandurah perth,,,0,1,0%,97.0
hotel cannington,,,0,1,0%,97.0
independent living units adelaide,,,0,1,0%,97.0
sda union,,,0,1,0%,97.0
supports sil,,,0,1,0%,97.0
cheap serviced apartments perth,,,0,1,0%,98.0
personal services perth wa,,,0,1,0%,98.0
independent living solution,,,0,1,0%,99.0
perth disability,,,0,1,0%,99.0
dali accommodation,,,0,1,0%,100.0
serviced apartments perth,,,0,1,0%,100.0
accomodation mandurah,,,0,1,0%,101.0
disability care wa,,,0,1,0%,101.0
disabled independent living housing,,,0,1,0%,101.0
hotels in rockingham,,,0,1,0%,101.0
respite care in perth,,,0,1,0%,101.0
serviced accommodation perth,,,0,1,0%,101.0
accommodation in mandurah wa,,,0,1,0%,102.0
adelphi suites,,,0,1,0%,102.0
disability employment services providers perth,,,0,1,0%,102.0
disability house,,,0,1,0%,102.0
adelpho,,,0,1,0%,129.0
bold living,,,0,1,0%,133.0
disabled living manchester,,,0,1,0%,134.0
disability insurance perth,,,0,1,0%,141.0
specialist disability housing,,,0,1,0%,149.0
disability support providers,,,0,1,0%,199.0
live in specialist care,,,0,1,0%,276.0
